(forest ) plant sociology	森林植物社會學
Banana streak badnavirus	香蕉條紋病
Bananas meal	香蕉粉
Banded krait (Taiwan umbrella snake)	雨傘節(手巾蛇、銀環蛇、百節蛇、白節仔)
Banjos banjos (Richardson)	扁棘鯛
Banjosidae	扁棘鯛科
Bank Run	擠兌
Bank filter	多孔濾器
Bank of International Settlement ; BIS	國際清算銀行
Bank of soil	土堤
Bank planting	堤岸栽植
Bank protection	護堤
Bank-protection work	護堤工程
Banking	築堤
Banking up	培土
Banner	旗瓣
Bar	目腳
Barium	鋇
Bark free	完全去樹皮
Barley	大麥 (大麥片)
Barley bran	大麥糠
Barometer	氣壓表
Barometric high	高氣壓
Barometric low	低氣壓
Barometric pressure	氣壓
Baromil	毫巴
Barotaxis	超壓性
Barramundi（Lates Calcarifer）	加州鱸魚
Barrel	桶
Barren	不毛的
Barricade	攔魚裝置
Barrier	障礙
Barrier dam	擋魚壩
Barrier net	擋魚壩
Barroosis	蜂蟹蟎病
Basal cell cancer	基底細胞癌
Bascanichthys kirkii (Gunther)	盲蛇鰻
Basedow's disease	巴塞杜氏病
Basel Convention ; BC	巴塞爾公約
Basic manure	基肥
Basin wastershed	流域
Bassobythites brunswigi Bauer	布氏鼬魚
Batch	批料
Bathile	深湖底的
Bathometer	測深計
Bathyal zone	半深海帶
Bathybic	最深海底的
Bathymetric depth	水深
Bathymyrus simus Smith	銼吻海糯鰻
Bathypelagic	深海底
Bathypelagic fauna	深海動物區系
Bathythermograph	深水溫度自記儀
Bay	海灣，港灣
Bayovac	拜有福
Beach Seine	地曳網
Beachy	沿海的，有沙灘的
Beacon	標桿，浮標
Beaconing	安置標桿
Beaker	燒杯，量杯
Beam trawl	桁拖網
Bearing	軸承
Beck	小河，小溪流域
Bed of river	河床
Beef	牛肉
Beef fat	牛油
Beet molasses	甜菜糖蜜
Beet pulp, dried	甜菜渣
Behaviour	行為
Beimen	北門
Beishan	北汕
Belly	腹?肉
Belone persimilis Gunther	扁鶴鱵
Belonidae	鶴鱵科
Belonoperca chabanaudi (Fowler & Bean)	鱵鱸
Belt Elevator	皮帶輸送機
Belt Type Unloader	皮帶式卸穀機
Benchmark	水準點
Bend-body disease	彎體病
Benedenia infection	貝尼登吸蟲症或白肌蟲症
Beneficiary	受益人
Benthesicymidae	深對蝦科
Benthic	海底生物，海底的
Benthic fish	底棲魚類
Benthic habit	底棲性
Benthic macrofauna	底棲大型動物相
Benthon	海底生物，水底生物
Benthon belt	海底生物帶
Benthophyte	水底植物
Benthos	海底生物，底棲生物
Benthosema pterota (Alcock)	七星魚
Bentonite	膠黏土
Benzoic acid	苯酸
Benzoin	安息香
Berardius bairdii Stejneger	貝爾氏喙鯨
Berseen clover ; Egyptian clover	埃及三葉草
Berycidae	金眼鯛科
Beryx decadactylus Cuvier & Valenciennes	夷金眼鯛
Beryx mollis Abe	軟金眼鯛
Beryx splendens Lowe	正金眼鯛
Besra Sparrow Hawk	松雀鷹(台灣松雀鷹、斑甲鷹）
Biamass	生物量
Bid bond	押標金保證
Bidding Button	競價按鈕
Biddulphia	盒形藻
Bidyanus bidyanus	銀鱸
Big head shrimp( Mino nylon shrimp)	大頭蝦
Big-headed stick insect	津田氏大頭竹節蟲
Bigeye Tuna; Thunnus Obesus	大目鮪
Bigeye tuna	大目鮪
Bighead carp	大目鰱
Bighead carp(Black silver carp)	大頭鰱
Bighead shrimp	大頭蝦
Bigmesh drift gillnet	大目流刺網
Bilateral	兩側的
Bilateral Investment Treaties ; BITs	雙邊投資協定
Bilateral spore	兩面形苞子
Bilateral symmetry	兩側對稱，左右對稱
Bile	膽汁
Bile cyst	膽囊
Bile duct	膽管
Bile pigment	膽色素
Bile salt	膽鹽
Bilharziasis	裂體吸蟲病
Biliary	膽汁的
Biliary drainage	膽汁支管
Biliary passage	膽道
Biliation	膽汁的分泌
Bilification	膽汁形成
Bilineurine	膽鹼
Biliverdin	膽綠素
Bill of Lading ; B/L	提單
Billfish	旗魚
Binary fission	二分裂
Binary name	雙名
Binary nomenclature	雙名法
Binate	成對的
Binder	黏合劑，捆束機
Binder twine	捆〔草〕索
Binding material	黏合劑
Binocular microscope	雙筒顯微鏡
Binomial distribution	二項分佈
Bio Taiwan Commission ; BTC	生技產業策略諮議委員會
Bio-diversity	生物多樣性
Bioaccumulfition	生物累積
Bioacoustics	生物聲學
Bioactivation	生物活化
Bioanalysis	生物分析法
Bioassay	生物檢定
Bioavailability	生物利用率
Bioblast	原生質體
Biocatalyst	生物催化劑
Biocenoses	狹義的生物群聚
Biochemical	生物化學的
Biochemical genetics	生化遺傳學
Biochemical mutant	生化突變型
Biochemical mutation	生化突變
Biochemical oxygen demand	生化需氧量
Biochemical specificity	生化特異性
Biochemist	生物化學家
Biochemistry	生物化學
Biocide	殺生物劑
Bioclimate	生物氣候
Bioclimatic zonation	生物氣候分區
Bioclimatics	生物氣候學
Bioclimatograph	生物氣候圖
Bioclimatology	生物氣候學
Biocoenosis	生物群落
Biocolloid	生物膠體
Bioconcentration factor (BCF)	生物濃縮係數
Bioconcentratiun	生物濃縮
Biocybernetics	生物控制論
Biodegradation	生物降解
Bioecology	〔生物〕生態學
Bioelectricity	生物電
Bioelement	〔生命〕必要原素
Bioengineering	生物工程學
Biofilter	生物濾池
Biofuel	釀熱物
Biogene	生源體
Biogenesis	生源說，生物發生學說
Biogenetic	生物發生的
Biogenetic law	生物發生律
Biogenic	生源的
Biogenous	活體寄生的
Biogeo-chemical cycles	生物地質化學循環
Biogeocoenosis	生物地理群落
Bioheating	釀熱加溫
Bioisotope	生物同位體
Biokinetic temperature limits	生物活動溫度臨界
Biokinetic zoon	生物活動區
Bioliths	生物岩
Biological	生物學的
Biological aeration	生物增氧
Biological assay	生物檢定
Biological assessment of exposure	暴露量之生物評估
Biological barrier	生物障礙
Biological cleaning	生物淨化
Biological clock	生物時鍾
Biological concentration	生物富集
Biological conditions	生物條件
Biological constant	生物常數
Biological control	生物防治
Biological equilibrium	生物平衡
Biological factor	生物因子
Biological fixation of nitrogen	生物固氮
Biological form	生物型
Biological indicator	指標生物
Biological investigation	生物調查
Biological isolation	生物隔離
Biological maturity	生理成熟度
Biological monitoring	生物監測
Biological oxidation	生物氧化
Biological oxygen demand	生物需氧量
Biological pollution	生物污染
Biological productivity	生物生產力
Biological property	生物學特性
Biological purification	生物淨化
Biological race	生理小種
Biological rhythm	生物節律
Biological rotating disc	生物轉盤
Biological species	生物種
Biological specimen	生物標本
Biological spectrum	生物型譜
Biological strain	生物品系
Biological study	生物研究
Biological survey	生物調查
Biological warming	釀熱加溫
Biological weathering	生物風化
Biologicals	生物製品
Biologics	生物製品
Biologics Division	製劑研究組
Biologist	生物學家
Biology	生物學
Biology Division	生物研究組
Bioluminescence	生物性發光
Biolysis	生物分解
Biomagniiication	生物放大
Biomariker	生物標誌
Biomass	生物量
Biomass estimation	生物量估計
Biome	生物群落
Biome-type	生物群落型
Biomembrane	生物膜
Biometer	生物計
Biometer flask	生物計，微量二氧化碳計量器
Biometrical genetics	生統遺傳學
Biometrics	生物統計
Biometry	生物統計學
Biomicroscope	生物顯微鏡
Biomonitoring	生物監測
Bion	生物型
Bionics	仿生學
Bionomics	生物學特性
Bionosis	生物病
Biont	有機體
Biopesticide	生物農藥
Biophagous	食生物的
Biophore	生源體
Biophysics	生物物理學
Biophyte	寄生植物
Bioplasm	原生質
Biopsy	活組織檢查
Biosis	生命
Biosocial facilitation	生物互助
Biosociology	生物社會學
Biosphere	生物圈
Biosynthesis	生物合成
Biosystematics	生物系統分類學
Biota	生物區集
Biotaxy	生物分類學
Biotechnology	生物技術
Biotechnology ; BIO	生物技術
Biotemperature	物候
Biotic balance	生物平衡
Biotic barrier	生物障礙
Biotic climax	生物性演替頂極
Biotic community	生物群聚
Biotic control	生物防治
Biotic factor	生物因素
Biotic potential	生物潛能
Biotic province	生物領域
Biotic resistance	生物抗力
Biotic succession	生物性演替
Biotics	生物的
Biotin	生物素
Biotomy	活體解剖
Biotope	群落生境
Biotoxin	生體毒素
Biotransformation	生物轉化
Biotransformation pathway	生物轉化途徑
Biotype	生物型
Biozone	生物帶
Biparasitic	寄生物上寄生的
Biparental	雙親本的
Bipartition	二等分裂
Biped	雙足的
Bipolar	兩極的
Bipolar cell	兩極細胞
Bipolarity	兩極性，兩極同源
Biramous	分枝的
Biramous appendage	二岔肢
Bird proof seed	抗鳥種高粱
Bird-nest fern	山蘇蕨
Birdwing butterfly	珠光鳳蝶(珠光黃裳鳳蝶、蘭嶼翼鳳蝶、螢光裳鳳蝶)
Bisexual reproduction	兩性生殖
Bisexualism	雌雄同體
Bisexuality	兩性現象
Bitou	鼻頭
Bitter cassava	苦味樹薯
Bivalve	二枚貝
Black Kite	老鷹（黑鳶、鳶、姬鷹）
Black Stork	黑鸛（鍋鸛、烏鸛、陽烏、黑巨雞）
Black bream	黑鯛
Black burrowing snake	標蛇(阿里山脊蛇)
Black carp	黑鰱
Black chinese roach(Black carp)	青魚
Black croaker	黑口
Black discoloration	黑變
Black gill disease	黑鰓病
Black grub	黑皰病
Black marlin	白皮旗魚
Black mouth croaker	黑口
Black paradise flycatcher	綬帶鳥（紫綬帶鳥、壽帶鳥、黑綬帶鳥、三光鳥、練鵲）
Black pomfret	黑鯧
Black porgy	黑鯛
Black scale disease	烏鱗病
Black sea bream	黑鯛
Black seabream	黑鯛
Black spot	黑點病
Black-billed magpie	喜鵲（客鳥、鵲、乾鵲、四喜鵲、神女）
Black-faced Spoonbill	黑面琵鷺（撓杯、黑面仔、黑臉琵鷺、黑面舞者、小琵鷺、黑琵鷺、黑面勺嘴）
Black-faced cuckoo shrike	花翅山椒鳥（灰龍眼燕）
Black-naped Tern	蒼燕鷗（丁香鳥、黑枕燕鷗）
Black-naped oriole	黃鸝（黃鶯、黑枕黃鸝）
Blackbody	黑體
Blackening	黑變
Blackening prevention	防止黑變
Blackleg	黑腿病
Blank Guarantee	全額保障
Blank material (sample)	空白樣品
Blank test	空白試驗
Bleach	漂白
Bleach powder	漂白粉
Bleaching	漂白
Bleeding	出血
Bleekeria viridianguilla (Fowler)	綠玉筋魚
Blend	混合物
Blending machine	攪拌機
Blenniidae	鳚科
Blight	凋萎病
Blind gut	盲腸
Blisters	膿皰
Blood	血液
Blood boil	血腫
Blood cell	血細胞
Blood charcoal	血炭
Blood circulation	血液循環
Blood clam	血蚶
Blood cockle	血蚶
Blood cockle( Ark shells)	血蚶
Blood corpuscle	血球
Blood flour	血粉
Blood formation	血液形成
Blood gill	血鰓
Blood glue	血膠
Blood group	血型
Blood horse	純種馬
Blood manure	血肥
Blood meal	血粉
Blood meal, flash dried	瞬間乾燥血粉
Blood medium	血液培養基
Blood plasma	血漿
Blood platelet	血小板
Blood poisoning	血中毒
Blood pressure	血壓
Blood relationship	親緣關係
Blood serum	血清
Blood sinus	血竇
Blood sinuses	血竇
Blood spots	斑狀出血
Blood stream	血流
Blood tumor	血腫
Blood type	血型
Blood typing	血型測定
Blood vessel	血管
Blood-circulating	血液循環
Blood-green algae	藍藻
Blood-making organ	造血器官
Blood-rain	血雨
Blood-vessel	血管
Blood-warm	血溫的
Bloodless	無血的
Bloodletting	放血
Bloody	血的
Bloody flux	痢疾
Bloody urine	血尿
Bloom	開花
Blooming date	開花日期
Blooming period	花期
Blooming stage	開花期
Bloomy	開花的
Blossom	開花
Blowing float	吹朔浮子
Blowing well	自流井
Blue Box	藍色措施
Blue disease	藍斑症
Blue ear disease	藍耳病
Blue marlin	黑皮旗魚
Blue print	藍圖
Blue sac disease	青囊症
Blue shortwing	小翼鶇（藍短翅鶇、頭翅鶇）
Blue slime-patch disease	藍色黏斑症
Blue whale	藍鯨(巨北方鬚鯨、塞巴氏鬚鯨)
Blue-barred orange (parrotfish)(Bicolor parrotfish)	鸚哥魚
Blue-green algae	籃綠藻
Blue-green algae intoxication	藍綠藻中毒
Blue-winged pitta	八色鳥（八色鶇）
Bluefin tuna	黑鮪
Bluetongue	藍舌病
Board of Film Censors ; BFC	影片檢查局
Bodianus albomaculatus (Smith)	白斑寒鯛
Bodianus anthioides (Bennett)	青頭寒鯛
Bodianus axillaris (Bennett)	腋斑寒鯛
Bodianus bilunulatus (Lacepede)	雙月斑狐鯛
Bodianus diana (Lacepede)	斑紋寒鯛
Bodianus hirsutus (Lacepede)	黑鰭狐鯛
Bodianus luteopunctatus (Bleeker)	黃斑狐鯛
Bodianus mesothorax (Bloch & Schneider)	中胸寒鯛
Bodianus oxycephalus (Bleeker)	狐鯛
Bodianus pacificus (Kamohara)	太平洋寒鯛
Bodianus perdirio (Quoy & Gaimard)	紅衣狐鯛
Body cavity	體腔
Body cell	體細胞
Body fluid	體液
Body length	體長
Body length composition	體長組成
Body protein	體蛋白
Body size	體型
Body temperature	體溫
Body wall	體璧
Body weight	體重
Bog plant	沼澤植物
Bogor Declaration ; BD	茂物宣言
Boil disease	膿腫病
Boiled Pork Meat	蒸煮豬肉
Boiled Salted Duck Eggs	熟鹹蛋
Boiler	鍋爐
Bolchline	緣網
Boleophthalmus pectinirostris (Linnaeus)	大彈塗魚、花跳
Bolus	鹽團
Bone Meal	骨粉
Bone charcoal	骨碳
Bone meal ; Bone flour ; Bone ash	骨粉
Bone phosphate	骨磷
Bonitos, Skipjacks	鰹
Bookkeeping	帳務
Boreal Forest	寒帶林
Boring organism	穿孔生物
Boron	硼
Bosemanichthys firmamentum (Temminck & Schlegel)	星斑河魨
Bostrichthys sinensis (Lacepede)	中國塘鱧
Botanical garden	植物園
Botanical variety	植物變種
Botanist	植物學家
Botanize	採集植物
Botanizing box	植物採集箱
Botches disease	種瘍
Bothidae	左鰈科
Bothriocephaliasis	頭槽絛蟲病
Bothus assimilis (Gunther)	菱鰈
Bothus bleekeri Steindachner	布氏鰈
Bothus mancus (Broussonet)	蒙鰈
Bothus myriaster (Temminck & Schlegel)	繁星鰈
Bothus pantherinus (Ruppell)	偺橇
Botony	植物學
Bottom community	水底群落
Bottom current	底層流
Bottom gillnet	底刺網
Bottom longline	底延繩釣
Bottom soil pollution	底質污染
Bottom trawl	底拖網
Bottom trawl fishery	底拖漁業
Bottom trawl net	底拖網
Bottom water	底層水
Bottom yeast	底層酵母
Botttom soil	底質
Botulism	腐肉中毒
Bound auxin	束縛生長激素
Bound residue	束縛殘留量
Bound setter	測量原
Bound water	束縛水
Bovine Anaplasmosis	牛邊蟲病
Bovine Babesiosis	牛焦蟲病
Bovine Brucellosis	牛布氏桿菌病
Bovine Contagious Pleuropneumonia (CBPP)	牛接觸傳染性胸膜肺炎
Bovine Cysticercosis	牛囊蟲病
Bovine Ephemeral Fever	牛流行性熱
Bovine Genital Campylobacteriosis	牛生殖道彎曲桿菌病
Bovine Spongiform Encephalopathy (BSE)	牛海綿狀腦病
Bovine Spongiform Encephalopathy ; BSE	牛海綿狀腦病 ; 狂牛病 ; 狂牛症
Bovine Tuberculosis	牛結核病
Bovine paratuberculosis	牛副結核病
Bovine spongiform encephalopathy	牛海綿狀腦病
Bozihliao	箔子寮
Brachionus plicatilis	輪蟲
Brachiopods	腕足動物
Brachiostoma belcheri	文昌魚
Brachymystax	細鱗魚
Brachypterois serrulatus (Richardson)	鋸稜短簑
Brachysomophis cirrhochilus (Bleeker)	大口蛇鰻
Brachytrupes portentosus	台灣大蟋蟀
Brackish	半鹹水
Brackish Water Pond	鹹水魚塭
Brackish culture	鹹淡水養殖
Brackish water	半鹹水
Brackish water aquaculture	半鹹水養殖
Brackish water fish	半鹹水魚類
Bradypepsia	消化不良
Bradyspermatism	射精徐緩
Braided netting twine	編線
Braiding	網片編織
Brain	腦
Brain pituitrin	腦垂體激素
Braking device	制動裝置
Brama brama (Bonnaterre)	正烏魴
Brama dussumieri Cuvier	杜氏烏魴
Brama japonica Hilgendorf	日本烏魴
Brama orcini Cuvier	熱帶烏魴
Bramidae	烏魴科
Bran	麩層或細糠
Branchia	鰓
Branchia nephritis	鰓腎炎
Branchial	鰓的
Branchial arch	鰓弓
Branchial cleft	鰓裂
Branchial plate	鰓片
Branchial pouch	鰓囊
Branchiate	有鰓的
Branchicolous	鰓部寄生的
Branchiogener kreb	鰓弓性癌
Branchiomere	鰓原節
Branchiomycosis	鰓霉病
Branchiostegidae	馬頭魚科
Branchiosteglte	鰓
Branchiostegus albus Dooley	白馬頭魚、紅面頭、紅馬頭
Branchiostegus argentatus (Cuvier)	銀馬頭魚
Branchiostegus auratus (Kishinouye)	金色馬頭魚
Branchiostegus japonicus (Kishinouye)	日本馬頭魚
Brasenia schreberi	純菜
Brazil	巴西
Break-water	防波堤
Breakdown	分解
Breaker	粉碎機
Breakwater	防波堤
Breast line	側網
Breed	品種
Breed of variety	品種培育
Breeding	育種
Breeding and Genetics Building	遺傳育種館
Breeding and Genetics Division	遺傳育種組
Breeding association	品種協會
Breeding by crossing	雜交育種法
Breeding by separation	分隔育種法
Breeding cage	配種籠
Breeding cultivation	育種繁殖
Breeding efficiency	配種效能
Breeding fish	懷卵魚
Breeding habit	繁殖習性
Breeding material	育種材料
Breeding nursery	育種區
Breeding of cattle	家畜育種
Breeding place	繁殖地
Breeding plot	育種小區
Breeding range	育種幅度
Breeding season	繁殖季節
Breeding station	育種站
Breeding stock	種用家畜
Breeding system	育種系統
Breeding value	育種值
Bregmaceros japonicus Tanaka	日本海鰗鰍
Bregmaceros lanceolatus Shen	矢狀海鰗鰍
Bregmaceros macclellandi Thompson	斑點海鰗鰍
Bregmaceros nectabanus Whitley	澳洲海鰗鰍
Bregmaceros pescadorus Shen	澎湖海鰗鰍
Bregmacerotidae	海鰗鰍科
Brewers dried yeast	啤酒酵母
Brewers grain (Brewrs dried grains)	啤酒粕
Brewers grain meal	啤酒穀粉
Brewers rice	釀啤酒用米
Bridled Tern	白眉燕鷗（丁香鳥、褐翅燕鷗）
Brilliant jewel beetle	妖艷吉丁蟲
Brine	鹽水
Brine shrimp	豐年蝦
Brine shrimp egg	豐年蝦卵
Brining	鹽浸作用
Brinish	鹽水的，鹹的
Brisket	胸肉
Bristle	鬃，剛毛
Brittle	脆的，易碎的
Broad-tailed swallowtail butterfly	寬尾鳳蝶
Broken rice	碎米
Broken-rice Seperator	碎米篩選機
Bromatoxism	食物中毒
Bronze leaf wilt	棕櫚類致死黃化病
Brood amount	懷卵量
Brooklynellosis	布魯克林蟲症
Brotula multibarbata Timminck & Schlegel	多鬚鼬魚
Brotulina fusca Fowler	褐深海鼬魚
Brown Root	褐根腐病
Brown Sorghum	褐高梁
Brown Tree Frog	褐樹蛙(壯溪樹蛙)
Brown croaker(Mi-iuy croaker)	鮸魚
Brown fish meal	紅魚粉
Brown hawk owl	褐鷹鴞
Brown meat	褐色肉
Brown rice	糙米
Brown shrike	紅尾伯勞
Brown shrimp	褐蝦
Brown wood owl	褐林鴞
Browning	褐變
Brownstripe	笛鯛類
Brucella abortus	流產布氏桿菌
Brucella canis	犬布氏桿菌
Brucella melitensis	馬爾他布氏桿菌
Brucella suis	豬布氏桿菌
Brucellosis	布氏桿菌
Brunei Oil and Gas Authority ; BOGA	汶萊石油與天然氣管理局
Brunei Shell Petroleum Company Sdn Bhd ; BSP	汶萊蜆殼石油公司
Brussels Definition of Value ; BDV	布魯塞爾核價定義
Bryoflora	苔蘚植物區系
Bryology	苔蘚植物學
Bryophyte	苔蘚植物
Bubble disease	氣泡症
Bucket Chain Unloader	斗鏈式卸穀機
Bucket Elevator	斗昇機
Buckwheat	蕎麥
Budai	布袋
Budding	芽殖
Budget	預算
Budget and Administrative Committee ; BAC	APEC預算暨行政委員會
Budget appropriations for bad debts	備抵呆帳
Budgeting	歲計
Budgeting Section	歲計科
Buffer species	緩衝種
Buffer strip	緩衝帶
Buffer zone	緩衝區
Build, Operate, Transfer ; BOT	建造-營運-移轉
Build, Own, Operate ; BOO	建造-擁有-營運
Bull Frogs	牛蛙
Bull Trawl	雙船拖網
Bull frog	牛蛙
Bull frog culture	牛蛙養殖
Bull trawler catch	拖網漁獲物
Bullacta exarata	泥螺
Bullet tuna	圓花鰹
Bulletin Board	公佈欄、公告欄
Bullfrog （Rana Catesbiana）	牛蛙
Bump	腫塊
Buoy	浮標
Buoyancy	浮力
Buoyancy theory	浮力學說
Bureau	林務局
Bureau of Agricultural Finance ; BOAF	農業金融局
Bureau of Animal and Plant Health Inspection and Quarantine	動植物防疫檢疫局
Bureau of Customs ; BOC	關政司
Bureau of Foreign Trade	國際貿易局
Bureau of Immigration ; BOI / BI	移民局
Bureau of Immigration and Deportation ; BID	入出境管理局
Bureau of Product Standards ; BPS	商品標準局
Burrowing organism	掘穴生物
Bursting of belly	腹部脹裂
Bursting of swim bladder	泳鰾脹裂
Business Facilitation Steering Group ; BFSG	商務便捷化推動小組
Business Management Network ; BMN	企業管理網路
Business Practices Act ; BPA	商業實施法
Business Travel Handbook ; BTH	商務旅行手冊
Business Volunteers Program ; BVP	企業義工計畫
Business management	經螢管理
Butchery	屠宰場
Butis amboinensis (Bleeker)	安朋塘鱧
Butis butis (Hamilton-Buchanan)	大鱗塘鱧
Butler’s Pigmy Frog	巴氏小雨蛙(小弧斑姬蛙、西蒙氏姬蛙)
Butter	奶油
Buttermilk powder	酪乳粉
Butylhdroxyanisole	丁羥甲醚
Butylhdroxytoluene	丁羥甲苯
Butyric acid	丁酸
Buying	收購
By catch	副漁獲物
By-product	副產品
By-product	副產物
Bythitidae	深海鼬魚科
CAS High Quality Rice Certification	CAS良質米認證制度
CPUE	單位漁獲量
Ca-Pantothenate	泛酸鈣
Cabin	船室
Cable	繩索
Cachexia	惡病質
Cachexia viroid	木孔病
Cadangcadang disease viroid	棕櫚類頂死病
Cadium	鎘
Cadium toxicity	鎘中毒
Cadmimum	鎘
Cadmium intoxication	鎘中毒
Caelorinchus anatirostris Jordan & Gilbert	鴨嘴鬚鱈
Caelorinchus cingulatus Gilbert & Hubbs	橫帶鬚鱈
Caelorinchus dorsalis Gilbert & Hubbs	絲鰭鬚鱈
Caelorinchus formosanus Okamura	臺灣鬚鱈
Caelorinchus gilbert Jordan & Hubbs	吉勃氏鬚鱈
Caesio caerulaureus Lacepede	烏尾冬
Caesio chrysozona Cuvier & Valenciennes	金帶烏尾冬
Caesio diagramma Bleeker	雙帶烏尾冬
Caesio erythrogaster Cuvier & Valenciennes	赤腹烏尾冬
Caesio lunaris (Cuvier & Valenciennes)	花烏尾冬
Caesio pisang Bleeker	瘦身烏尾冬
Caesio xanthonotus Bleeker	黃背烏尾冬
Caesionidae	烏尾冬科
Cage cleaning	箱網清洗
Cage culture	箱網養殖
Cage fish culture	箱網養魚
Caiabolisin	異化作用、降解代謝
Caiman latirostris	凱門鱷
Caisson disease	潛水伕病
Caiyuan	菜園
Calamity	災害
Calcareous	石灰質的，含鈣的
Calcareous alluvial soil	石灰性沖積土
Calcareous paddy-soil	石灰性水稻土
Calcareous plant	碳酸鹽土植物
Calcareous shale	石灰頁岩
Calcareous soil	石灰質土
Calcicole	鈣生植物
Calcicolous plant	適鈣植物
Calciferol	鈣化醇
Calciferous	含鈣的，含石灰質的
Calcification	鈣化，骨化
Calcifuge	嫌鈣植物
Calcimeter	碳酸計
Calcined lime	生石灰
Calcinosis	鈣質沉著
Calcipenia	鈣質減少
Calcipexy	鈣固定
Calciphile	喜鈣植物
Calciphilous	喜鈣植物
Calciphobous	嫌鈣的
Calciprivic	缺乏鈣鹽的
Calcite	方解石
Calcium	鈣
Calcium arsenate	砷酸鈣
Calcium arsenite	亞砷酸鈣
Calcium carbonate	碳酸鈣
Calcium carbonate precipitated	沉澱碳酸鈣
Calcium chloride	氯化鈣
Calcium clay	鈣質黏土
Calcium cynamide	青氨化鈣
Calcium gluconate	葡萄糖鈣
Calcium humate	腐質酸鈣
Calcium hydroxate intoxication	氫氧化鈣中毒
Calcium iodate	碘酸鈣
Calcium lactate	乳酸鈣
Calcium metabolism	鈣代謝
Calcium nitrate	硝酸鈣
Calcium oxide	氧化鈣
Calcium phosphate	磷酸鈣
Calcium phosphate	鄰酸鈣
Calcium phosphate, dibasic	鄰酸二鈣
Calcium phosphate, monobasic	鄰酸一鈣
Calcium phosphate, tribasic	鄰酸三鈣
Calcium plant	石灰植物
Calcium propionate	丙酸鈣
Calcium soil	鈣質土
Calcium sulfate	硫酸鈣
Calcium sulphate	磷酸鈣
Calcium superphosphate	過磷酸鈣
Calcospherite	鈣球體
Calculation	計算
Calculator	計算機
Calendar	歷
Calendar year	歷年
Calf	牛犢
Calibration curve	校準曲線
Calibrator	校準器
Caligus	魚虱
Callanthiidae	紅黃帶花鮨科
Callicanthus lituratus (Bloch & Schneider)	鸚鵡天狗鯛
Callionymidae	鼠銜魚科
Callionymus (Callionymus) beniteguri	本氏鼠銜魚
Callionymus (Callionymus) curvicornis	彎棘鼠銜魚
Callionymus (Callionymus) enneactis Bleeker	九棘鼠銜魚
Callionymus (Callionymus) formosanus Fricke	臺灣鼠銜魚
Callionymus (Callionymus) hainanensis Li	海南鼠銜魚
Callionymus (Callionymus) huguenini Bleeker	胡氏鼠銜魚
Callionymus (Callionymus) lunatus	滑鼠銜魚
Callionymus (Callionymus) meridionalis Suwardji	子午鼠銜魚
Callionymus (Callionymus) octostigmatus Fricke	八斑鼠銜魚
Callionymus (Callionymus) planus	平淡鼠銜魚
Callionymus (Callionymus) schaapi Bleeker	薛氏鼠銜魚
Callionymus (Callionymus) sokonumeri Kamohara	蘇庫鼠銜魚
Callionymus (Callionymus) valenciennei	瓦氏鼠銜魚
Callionymus (Callionymus) virgis Jordan & Fowler	暗色鼠銜魚
Callionymus (Calliurichthys) belcheri recurvispin	藍身鼠銜魚
Callionymus (Calliurichthys) doryssus	槍棘鼠銜魚
Callionymus (Calliurichthys) falamentosus	絲鰭鼠銜魚
Callionymus (Calliurichthys) japonicus japonicus	鼠銜魚
Callionymus (Calliurichthys) martinae Fricke	南臺鼠銜魚
Callionymus (Calliurichthys) scabriceps Fowler	粗首鼠銜魚
Callionymus (Calliurichthys) variegatus	曳絲鼠銜魚
Callionymus (callionymus) daianus Gunther	凱島鼠銜魚
Calliperia infections	花瓶蟲感染症
Callogobius hasselti (Bleeker)	赫氏鯊
Callogobius liolepis Koumans	圓鱗鯊
Callogobius sclateri (Steindachner)	稜頭鯊
Callogobius snelliusi8 Koumans	史奈利鯊
Calloplesiops altivelis (Steindachner)	瑰麗七夕魚
Callorhinus ursinus	海狗
Calm	無風
Calm belt	無風帶
Calm zone	無風帶
Calmative	鎮靜劑
Caloglossa	鷓鴣菜
Calorie	卡
Calorifacient	產熱力的
Calorific value	熱值
Calorimeter	量熱計
Calorimetery	量熱法
Caloritrophism	向熱性
Calotomus japonicus (Cuvier & Valencieness)	日本鸚鯉
Calotomus spinidens (Quoy & Gaimard)	白星鸚鯉
Cambarus	敖蝦
Canada-Australia Trade Agreement ; CANATA	加澳貿易協定
Canadian Trade Office in Taipei ; CTOT	加拿大駐台北貿易辦事處
Canal	圳
Cancer	癌
Cancerogenous	致癌的
Cancerogenous substance	致癌物質
Cancroid	表皮癌
Candida	假絲酵母
Candidia barbata (Regan)	臺灣馬口魚
Cane top	甘蔗梢
Canned crab	蟹罐
Canned fish	魚罐
Canned food	罐頭
Canned green turtle	綠龜罐
Canned shrimp	蝦罐
Cannibalism	同類相殘
Canning	罐頭加工
Canning equipment	罐頭生產設備
Canthidermis maculatus (Bloch)	大棘皮剝魨
Canthidermis rotundatus (Proce)	棘身皮剝魨
Canthigaster amboinensis (Bleeker)	安汶扁背魨
Canthigaster bennetti (Bleeker)	本氏扁背魨
Canthigaster compressus (Proce)	蟲紋扁背魨
Canthigaster coronatus (Vaillant & Sauvage)	冠帶扁背魨
Canthigaster janthinopterus (Bleeker)	白紋扁背魨
Canthigaster margaritatus (Ruppell)	真珠扁背魨
